Risk ID Mitigated,Mitigation Number,Reduction in Likelihood (Percent),Reduction in Severity (Percent),Risk Short Description,Response Measure Description,Notes,Reformatted as a Question
#032,58,26.67,58.33,Evaluator(s) have a high false reject rate (acceptable outputs rated as unacceptable),Use human evaluators on all outputs evaluated as unacceptable,,Do you use human evaluators for assessing system performance across all outputs evaluated by computational means when the outputs are evaluated as unacceptable?
#032,60,63.33,33.33,Evaluator(s) have a high false reject rate (acceptable outputs rated as unacceptable),Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#032,99,73.33,8.33,Evaluator(s) have a high false reject rate (acceptable outputs rated as unacceptable),"SUT is required to produce outputs conforming to the evaluator's expected format (e.g., true/false, multiple choice selection, executable code with unit tested conformance, etc.)",,"Is the system-under-test required to produce outputs that conform to the evaluator’s expected format (e.g., true/false, multiple choice)?"
#032,138,80.00,45.83,Evaluator(s) have a high false reject rate (acceptable outputs rated as unacceptable),Evaluator is observed to reliably achieve a low false reject rate,,"Is the evaluator observed to reliably achieve a low false reject rate (e.g., compliant labeled as non-compliance)?"
#032,157,83.33,41.67,Evaluator(s) have a high false reject rate (acceptable outputs rated as unacceptable),"Benchmark has singular answers (i.e., the outputs must be bit-exact in order to be correct) that are checked via a lookup table",,"Does the benchmark use singular answers (i.e., bit-exact outputs) that are checked via a lookup table?"
#033,59,73.33,50.00,Evaluator(s) have a high false accept rate (unacceptable outputs rated as acceptable),Use human evaluators on all outputs evaluated as acceptable,,Do you use human evaluators for assessing system performance across all outputs evaluated by computational means when the outputs are evaluated as acceptable?
#033,61,66.67,33.33,Evaluator(s) have a high false accept rate (unacceptable outputs rated as acceptable),Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#033,100,73.33,33.33,Evaluator(s) have a high false accept rate (unacceptable outputs rated as acceptable),"SUT is required to produce outputs conforming to the evaluator's expected format (e.g., true/false, multiple choice selection, executable code with unit tested conformance, etc.)",,"Is the system-under-test required to produce outputs that conform to the evaluator’s expected format (e.g., true/false, multiple choice)?"
#033,139,80.00,50.00,Evaluator(s) have a high false accept rate (unacceptable outputs rated as acceptable), Evaluator is observed to reliably achieve a low false accept rate,,"Is the evaluator observed to reliably achieve a low false accept rate (e.g., non-compliant labeled as compliance)?"
#033,158,80.00,37.50,Evaluator(s) have a high false accept rate (unacceptable outputs rated as acceptable),"Benchmark has singular answers (i.e., the outputs must be bit-exact in order to be correct) that are checked via a lookup table",,"Does the benchmark use singular answers (i.e., bit-exact outputs) that are checked via a lookup table?"
#034,33,80.00,37.50,Inadequate sample size for identifying performance,Calibrate prompt count to statistical analysis or produce sufficient prompts that the measure will clearly be consistent,,"Do you calibrate the number of prompts used according to statistical analysis, or otherwise ensure that the sample count is sufficient to produce consistent and reliable measures?"
#035,34,70.00,58.33,Failure to propagate uncertainty or confidence from lower level measures to higher level grades,Prominently display uncertainty estimates in composition with the benchmark results,,Do you prominently display uncertainty estimates alongside your benchmark results?
#035,51,70.00,33.33,Failure to propagate uncertainty or confidence from lower level measures to higher level grades,Callout qualities of prompt subpopulations for scores that are systematically worse,,Do you identify and call out specific qualities of prompt subpopulations where SUT performance is systematically worse?
#035,159,66.67,58.33,Failure to propagate uncertainty or confidence from lower level measures to higher level grades,Property of interest is appropriately measured without any aggregation among different subpopulations,,Is the property of interest appropriately measurable without aggregating across different subpopulations?
#036,35,90.00,37.50,Presentation without uncertainty or confidence of the scores,Prominently display uncertainty estimates in composition with the benchmark results,,Do you prominently display uncertainty estimates alongside your benchmark results?
#036,200,63.33,41.67,Presentation without uncertainty or confidence of the scores,Benchmark provides guidance or reference for the display or accompanying statistics to inform users of benchmark uncertainty,,Does the benchmark provide guidance or references on how to display or interpret statistics that communicate benchmark uncertainty?
#037,36,70.00,0.00,User does not read disclaimers,Prominently display disclaimers everywhere benchmarks are presented,,Do you prominently display disclaimers wherever the benchmark is presented?
#037,56,76.67,33.33,User does not read disclaimers,Iteratively improve display of disclaimers via UX methods until users can express knowledge of the limitations,,Do you iteratively improve how disclaimers are displayed via UX research until users demonstrate understanding of the benchmark's limitations?
#038,37,76.67,4.17,User does not understand visual representation of scores,Perform user evaluation with target user group and iterate design,,Do you conduct user evaluations with your target user group and iterate on the benchmark design based on their feedback?
#038,75,66.67,4.17,User does not understand visual representation of scores,Perform design studies with potential users to understand presentation requirements,,Do you perform design studies with potential users to understand presentation requirements for benchmark outputs?
#038,160,76.67,4.17,User does not understand visual representation of scores,Limit presentation and audience to sophisticated persons that can be assumed to understand the visual representation,,Do you limit the presentation and audience to sophisticated users who can be assumed to understand visual representations?
#038,197,63.33,29.17,User does not understand visual representation of scores,Implement Interactive Tutorials or Help Sections to provide users with accessible guides explaining the visual representations used in the benchmarks.,,Have you implemented interactive tutorials or help sections that explain the visual representations used in the benchmarks?
#039,38,73.33,0.00,User misunderstands the scope of the benchmark,Prominently display the scope of the benchmark in terms of what the user should or should not rely on,,"Do you clearly and prominently display the scope of the benchmark, including guidance on what users should or should not rely on it for?"
#039,122,63.33,20.83,User misunderstands the scope of the benchmark,Maintained feedback channel for benchmark users is available,,"Is there an ongoing, maintained feedback channel available for benchmark users?"
#039,123,60.00,12.50,User misunderstands the scope of the benchmark,Contact person is listed indicating that person will be responsive to inquiries,,"Is a contact person listed for the benchmark, and is that person responsive to inquiries?"
#040,66,76.67,12.50,"Different demographic groups (cultural, professional, educational, etc.) viewing the benchmark have different interpretations of the information conveyed",Localize the presentation in consultation with people who have a deep understanding of the interpretation of benchmark information within a demographic group,,Do you localize the presentation of benchmark results in consultation with individuals who have deep understanding of how such information is interpreted within specific demographic groups?
#040,82,73.33,29.17,"Different demographic groups (cultural, professional, educational, etc.) viewing the benchmark have different interpretations of the information conveyed",Direct the benchmark to a professional audience with layers of supporting information for experts,,"Do you direct the benchmark to a professional audience, providing layers of supporting information suitable for expert review?"
#040,83,80.00,25.00,"Different demographic groups (cultural, professional, educational, etc.) viewing the benchmark have different interpretations of the information conveyed",Publicly disclaim the benchmark as a tool for consumers,,Do you publicly disclaim the benchmark as a tool intended for consumer use?
#040,88,73.33,20.83,"Different demographic groups (cultural, professional, educational, etc.) viewing the benchmark have different interpretations of the information conveyed",Limit promotion of the benchmark to persons sophisticated for the task being benchmarked and its measurement,,Do you limit promotion of the benchmark to individuals with a sophisticated understanding of the task being benchmarked and its measurement implications?
#040,127,73.33,0.00,"Different demographic groups (cultural, professional, educational, etc.) viewing the benchmark have different interpretations of the information conveyed",Assumptions of normative properties (how people should be interpreting the benchmark according to specific cultures or contexts) are documented,,"Are any assumptions about normative properties (e.g., how the benchmark should be interpreted within specific cultures or contexts) clearly documented?"
#041,39,73.33,0.00,SUT developer tunes safety program to benchmark sample set,Signed agreements with SUT developers prohibit tuning with the sample set,,Do you have signed agreements with SUT developers that prohibit tuning systems using the provided sample set?
#041,57,96.67,0.00,SUT developer tunes safety program to benchmark sample set,Do not provide a benchmark sample set,,"Do you intentionally avoid providing a representative sample set (i.e., a dataset illustrative of the characteristics of the prompts included within the test set)?"
#041,76,56.67,0.00,SUT developer tunes safety program to benchmark sample set,License prohibits tuning to the sample set (sample set may be available without a signed agreement),,Does your license prohibit tuning to the sample set?
#042,42,80.00,0.00,SUT developer trains SUT against sample set,Do not provide a representative sample set,,"Do you intentionally avoid providing a representative sample set (i.e., a dataset illustrative of the characteristics of the prompts included within the test set)?"
#042,77,70.00,0.00,SUT developer trains SUT against sample set,Signed agreements with SUT developers prohibit training with the sample set,,Do you have signed agreements with SUT developers that explicitly prohibit training with the sample set?
#042,78,56.67,0.00,SUT developer trains SUT against sample set,License prohibits training to the sample set (sample set may be available without a signed agreement),,Does your license prohibit tuning to the sample set?
#043,44,36.67,45.83,User behavior shifts through time,Actively update the tests in response to changing user behaviors,,Do you actively update your tests in response to changing user behaviors?
#044,43,70.00,0.00,Test set leaks out to the general internet,Do not provide the test set,,Do you intentionally avoid providing the test set publicly or to SUT developers?
#044,45,33.33,33.33,Test set leaks out to the general internet,Actively monitor the internet for test set samples,,Do you actively monitor the internet to check whether any test set samples have appeared online?
#044,74,40.00,33.33,Test set leaks out to the general internet,Periodically introduce new test set prompts and monitor for statistical differences in performance across new and old items,,Do you periodically introduce new test set prompts and monitor for statistical differences in performance between new and old items?
#045,52,56.67,33.33,SUT developers update the SUT without changing the name or version of the SUT,(Only for 3rd party benchmarking) Periodically re-test all SUTs,,Do you periodically re-test all systems under test (SUTs) to maintain up-to-date comparisons?
#045,161,66.67,33.33,SUT developers update the SUT without changing the name or version of the SUT,Only test SUTs with well known version identifiers,,Do you only test SUTs with well-known version identifiers?
#046,67,73.33,0.00,SUT developers can run the benchmark an unlimited number of times,Do not allow evaluation on demand. ,,Do you restrict or avoid evaluation on demand to preserve benchmark integrity?
#047,103,70.00,29.17,The benchmark does not measure a property of the SUT linked to the user task,How tested capability or concept translates to benchmarked task is described,,Do you describe how the tested capability or concept is translated into the benchmarked task?
#047,104,76.67,0.00,The benchmark does not measure a property of the SUT linked to the user task,Domain experts are involved in the production of the benchmark,,Are domain experts involved in the creation of the benchmark?
#047,105,60.00,0.00,The benchmark does not measure a property of the SUT linked to the user task,Domain literature is integrated,,Do you integrate relevant domain literature into the benchmark?
#048,107,56.67,4.17,Users cannot map the scores to a mental model of likely SUT behavior in the real world,Metric floors and ceilings are included,,Are metric floors and ceilings included as part of the benchmark methodology?
#048,108,60.00,8.33,Users cannot map the scores to a mental model of likely SUT behavior in the real world,Human performance level is included,,Is a human performance level incorporated into the benchmark?
#048,109,56.67,4.17,Users cannot map the scores to a mental model of likely SUT behavior in the real world,Random decision/output performance level is included,,Is a performance level for random decision/output also provided in the benchmark?
#049,110,63.33,12.50,SUT developer trains against evaluation set,Globally unique identifier or encryption of evaluation instances is added,,Do you add a globally unique identifier or apply encryption to evaluation instances?
#049,112,90.00,0.00,SUT developer trains against evaluation set,Do not provide the evaluation set,,Do you refrain from providing the evaluation set to prevent potential misuse?
#049,113,70.00,0.00,SUT developer trains against evaluation set,Signed agreements with SUT developers prohibit training with the sample set,,Are there signed agreements with SUT developers that prohibit using the sample set for training?
#049,114,50.00,4.17,SUT developer trains against evaluation set,License prohibits training to the sample set (sample set may be available without a signed agreement),,"Does the license explicitly prohibit using the sample set for training, even if the sample set is available without a signed agreement?"
#049,118,50.00,25.00,SUT developer trains against evaluation set,Include canary data in the prompt set whose inclusion in training would make the model testable for training against the benchmark,,Do you include canary data in the prompt set such that its inclusion in training would enable testing whether the model has been trained on the benchmark?
#050,111,53.33,0.00,SUT developer trains against evaluation set,Globally unique identifier or encryption of evaluation instances is added,,Do you add a globally unique identifier or apply encryption to evaluation instances?
#050,115,90.00,12.50,SUT developer trains against evaluation set,Do not provide the evaluation set,,Do you refrain from providing the evaluation set?
#050,116,53.33,20.83,SUT developer trains against evaluation set,Signed agreements with SUT developers prohibit training with the evaluation set,,Are there signed agreements with SUT developers that specifically prohibit training with the evaluation set?
#050,117,56.67,16.67,SUT developer trains against evaluation set,License prohibits training to the evaluation set (evaluation set may be available without a signed agreement),,"Does the license explicitly prohibit training with the evaluation set, even when it might be available without a signed agreement?"
#050,119,63.33,25.00,SUT developer trains against evaluation set,Include canary data in the prompt set whose inclusion in training would make the model testable for training against the benchmark,,Do you include canary data in the prompt set such that its inclusion in training would enable testing whether the model has been trained on the benchmark?
#051,120,50.00,4.17,SUT developers are not bound to adhere to benchmark integrity requirements,"Release requirements (i.e., the practices and norms that must be followed by the SUT developer) are specified publicly",,Are the release requirements such as the practices and norms required to be followed by the SUT developer specified publicly?
#051,121,80.00,8.33,SUT developers are not bound to adhere to benchmark integrity requirements,SUT developers are legally and financially liable for harms produced through inappropriate reliability arising from SUT developers violating the release requirements,,"Are SUT developers held legally and financially accountable for harms that might arise from violating benchmark release requirements (i.e., if training practices producing a benchmark score not representative of SUT performance in the real world)?"
#052,124,43.33,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Accompanying paper is accepted at peer-reviewed venue and/or a preprint version of the paper is highly cited,,"Has the accompanying paper been accepted at a peer-reviewed venue, or is there a preprint version that is highly cited?"
#052,125,63.33,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Benchmark design process is documented,,Is the benchmark design process documented?
#052,126,63.33,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Test tasks & rationale are documented,,Are the test tasks and the rationale behind them documented?
#052,128,63.33,4.17,Benchmark production failed to account for an idiosyncratic failure mode,"Test environment design or prompt design process (i.e., how the prompts are written and by whom) is documented",,"Is the design process for the test environment or prompts (e.g., how prompts are written and by whom) documented?"
#052,129,56.67,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Data sources and data collection process are explained,,Are the data sources and the data collection process explained?
#052,130,50.00,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Data preprocessing steps are described (if applicable),,Are any data preprocessing steps described or found to be non-relevant to benchmark users?
#052,131,50.00,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Data annotation process is described (if applicable),,Are any data annotation steps described or found to be non-relevant to benchmark users?
#052,132,50.00,4.17,Benchmark production failed to account for an idiosyncratic failure mode,Evaluation metric is documented,,Is the evaluation metric used by the benchmark clearly documented?
#053,133,63.33,0.00,Linkage between the evaluation prompts and the information the prompts are meant to supply via the benchmark is not well understood by the benchmark user,"Data representativeness is explained (if applicable). For example, demographics of crowd workers are collected and reported.",,"Is the representativeness of the data explained (e.g., are the demographics of crowd workers collected and reported)?"
#054,136,73.33,8.33,New requirements emerge that would reasonably be interpreted as being covered in the task definition,"Periodically review the SUT task, update to match user expectations, update existing prompts, source new prompts to ensure coverage, and create a new versioned release of the benchmark",,"Is the benchmark periodically reviewed to ensure the SUT task aligns with current user expectations, including updating prompts, sourcing new ones for better coverage, and releasing versioned updates?"
#055,167,73.33,8.33,"A SUT developer has disparate access to information about the benchmark after its release (i.e., information not provided to other SUT developers)","Publish and maintain benchmark within an organization that does not publish SUTs (i.e., the benchmark is ""third party"" with respect to all benchmarked systems)",,"Do you publish the benchmark at an organization that does not develop SUTs (i.e., is it a third-party benchmark)?"
#055,168,63.33,8.33,"A SUT developer has disparate access to information about the benchmark after its release (i.e., information not provided to other SUT developers)",Require all benchmark authors and prompt writers to maintain confidentiality of non-public information,,Do you require all benchmark authors and prompt writers to maintain confidentiality of non-public information regarding the benchmark?
#055,169,56.67,12.50,"A SUT developer has disparate access to information about the benchmark after its release (i.e., information not provided to other SUT developers)",Prohibit benchmark authors from optimizing SUTs for the benchmark,,Do you prohibit benchmark authors from optimizing SUTs for the benchmark?
#055,170,66.67,12.50,"A SUT developer has disparate access to information about the benchmark after its release (i.e., information not provided to other SUT developers)",Maintain an information barrier protocol within the organization producing the benchmark between the benchmark authors/prompt writer and the SUT developers active within the same organization. This is sometimes referred to as a Chinese wall or an ethics wall. ,,"Is your organization a SUT developer and do you maintain an information barrier protocol (e.g., Chinese wall) between benchmark authors/prompt writers and SUT developers within the same organization?"
#056,171,70.00,12.50,The benchmark authors do not know how to formulate the problem as prompts that are illustrative to the user relying on the benchmark,Involve domain experts in the definition of the task and prompts,,Do you involve domain experts in defining the task and prompts?
#057,172,66.67,20.83,Benchmark authors do not know how to propagate statistical uncertainty into a user presentation,A benchmark author has formal training in statistical methods,,Does at least one benchmark author have formal training in statistical methods?
#058,173,36.67,37.50,"Understanding the benchmark requires more resources (e.g., study, expertise, exploration) than the relying user has time to expend",Comparisons to well known benchmarks are provided indicating what is the same and what is different,,Do you provide comparisons to well-known benchmarks that indicate what is the same and what is different?
#058,174,43.33,33.33,"Understanding the benchmark requires more resources (e.g., study, expertise, exploration) than the relying user has time to expend",A FAQ is published with the benchmark,,Do you publish a FAQ along with the benchmark?
#058,175,36.67,45.83,"Understanding the benchmark requires more resources (e.g., study, expertise, exploration) than the relying user has time to expend",Simple interpretative statements for scores are provided in the user interface,,Do you provide simple interpretative statements for scores in the user interface?
#058,176,43.33,41.67,"Understanding the benchmark requires more resources (e.g., study, expertise, exploration) than the relying user has time to expend",The task is simplified until it requires less mental effort to understand,,Have you simplified the task to reduce the mental effort required to understand it?
#058,177,40.00,41.67,"Understanding the benchmark requires more resources (e.g., study, expertise, exploration) than the relying user has time to expend",Example prompts for the task are provided,,Do you include example prompts for the task?
#031,202,0.00,0.00,Evaluator(s) perform poorly across all SUTs,"Used an off-the-shelf evaluator model without tuning, but with an evaluation program that finds its reliability to be adequate for the evaluation task",,"Did you use an off-the-shelf evaluator model without tuning, but with an evaluation program that finds its reliability to be adequate for the evaluation task?"
